"Segundo","Hilo","Tipo","Nominal","Porcentaje","MHz","Uso"
"1,4","0,0","P","1300","284","3692","100"
"1,4","0,1","P","1300","284","3692","100"
"1,4","0,10","E","1300","351","4563","100"
"1,4","0,11","E","1300","351","4563","100"
"1,4","0,2","P","1300","284","3692","100"
"1,4","0,3","P","1300","284","3692","100"
"1,4","0,4","E","1300","351","4563","100"
"1,4","0,5","E","1300","351","4563","100"
"1,4","0,6","E","1300","351","4563","100"
"1,4","0,7","E","1300","351","4563","100"
"1,4","0,8","E","1300","351","4563","100"
"1,4","0,9","E","1300","351","4563","100"
"2,6","0,0","P","1300","277","3601","100"
"2,6","0,1","P","1300","277","3601","100"
"2,6","0,10","E","1300","342","4446","100"
"2,6","0,11","E","1300","342","4446","100"
"2,6","0,2","P","1300","277","3601","100"
"2,6","0,3","P","1300","277","3601","100"
"2,6","0,4","E","1300","342","4446","100"
"2,6","0,5","E","1300","342","4446","100"
"2,6","0,6","E","1300","342","4446","100"
"2,6","0,7","E","1300","342","4446","100"
"2,6","0,8","E","1300","342","4446","100"
"2,6","0,9","E","1300","342","4446","100"
"3,8","0,0","P","1300","267","3471","100"
"3,8","0,1","P","1300","267","3471","100"
"3,8","0,10","E","1300","330","4290","100"
"3,8","0,11","E","1300","330","4290","100"
"3,8","0,2","P","1300","266","3458","100"
"3,8","0,3","P","1300","266","3458","100"
"3,8","0,4","E","1300","329","4277","100"
"3,8","0,5","E","1300","329","4277","100"
"3,8","0,6","E","1300","329","4277","100"
"3,8","0,7","E","1300","329","4277","100"
"3,8","0,8","E","1300","329","4277","100"
"3,8","0,9","E","1300","330","4290","100"
"5,1","0,0","P","1300","249","3237","100"
"5,1","0,1","P","1300","249","3237","100"
"5,1","0,10","E","1300","315","4095","100"
"5,1","0,11","E","1300","315","4095","100"
"5,1","0,2","P","1300","249","3237","100"
"5,1","0,3","P","1300","249","3237","100"
"5,1","0,4","E","1300","313","4069","100"
"5,1","0,5","E","1300","313","4069","100"
"5,1","0,6","E","1300","313","4069","100"
"5,1","0,7","E","1300","313","4069","100"
"5,1","0,8","E","1300","315","4095","100"
"5,1","0,9","E","1300","315","4095","100"
"6,3","0,0","P","1300","244","3172","100"
"6,3","0,1","P","1300","244","3172","100"
"6,3","0,10","E","1300","304","3952","100"
"6,3","0,11","E","1300","304","3952","100"
"6,3","0,2","P","1300","244","3172","100"
"6,3","0,3","P","1300","244","3172","100"
"6,3","0,4","E","1300","308","4004","100"
"6,3","0,5","E","1300","308","4004","100"
"6,3","0,6","E","1300","308","4004","100"
"6,3","0,7","E","1300","308","4004","100"
"6,3","0,8","E","1300","304","3952","100"
"6,3","0,9","E","1300","304","3952","100"
"7,6","0,0","P","1300","232","3016","100"
"7,6","0,1","P","1300","232","3016","100"
