"Segundo","Hilo","Tipo","Nominal","Porcentaje","MHz","Uso"
"8,4","0,0","P","1300","246","3198","100"
"8,4","0,1","P","1300","246","3198","100"
"8,4","0,10","E","1300","311","4043","100"
"8,4","0,11","E","1300","311","4043","100"
"8,4","0,2","P","1300","246","3198","100"
"8,4","0,3","P","1300","246","3198","100"
"8,4","0,4","E","1300","310","4030","100"
"8,4","0,5","E","1300","310","4030","100"
"8,4","0,6","E","1300","310","4030","100"
"8,4","0,7","E","1300","310","4030","100"
"8,4","0,8","E","1300","311","4043","100"
"8,4","0,9","E","1300","311","4043","100"
"9,7","0,0","P","1300","240","3120","100"
"9,7","0,1","P","1300","240","3120","100"
"9,7","0,10","E","1300","309","4017","100"
"9,7","0,11","E","1300","309","4017","100"
"9,7","0,2","P","1300","240","3120","100"
"9,7","0,3","P","1300","240","3120","100"
"9,7","0,4","E","1300","308","4004","100"
"9,7","0,5","E","1300","308","4004","100"
"9,7","0,6","E","1300","308","4004","100"
"9,7","0,7","E","1300","308","4004","100"
"9,7","0,8","E","1300","309","4017","100"
"9,7","0,9","E","1300","309","4017","100"
"11","0,0","P","1300","235","3055","100"
"11","0,1","P","1300","235","3055","100"
"11","0,10","E","1300","304","3952","100"
"11","0,11","E","1300","304","3952","100"
"11","0,2","P","1300","235","3055","100"
"11","0,3","P","1300","235","3055","100"
"11","0,4","E","1300","302","3926","100"
"11","0,5","E","1300","302","3926","100"
"11","0,6","E","1300","302","3926","100"
"11","0,7","E","1300","302","3926","100"
"11","0,8","E","1300","304","3952","100"
"11","0,9","E","1300","304","3952","100"
"12,2","0,0","P","1300","247","3211","100"
"12,2","0,1","P","1300","247","3211","100"
"12,2","0,10","E","1300","313","4069","100"
"12,2","0,11","E","1300","313","4069","100"
"12,2","0,2","P","1300","247","3211","100"
"12,2","0,3","P","1300","247","3211","100"
"12,2","0,4","E","1300","312","4056","100"
"12,2","0,5","E","1300","312","4056","100"
"12,2","0,6","E","1300","312","4056","100"
"12,2","0,7","E","1300","312","4056","100"
"12,2","0,8","E","1300","313","4069","100"
"12,2","0,9","E","1300","313","4069","93"
"13,5","0,0","P","1300","243","3159","100"
"13,5","0,1","P","1300","243","3159","100"
"13,5","0,10","E","1300","310","4030","100"
"13,5","0,11","E","1300","310","4030","100"
"13,5","0,2","P","1300","243","3159","100"
"13,5","0,3","P","1300","243","3159","100"
"13,5","0,4","E","1300","306","3978","100"
"13,5","0,5","E","1300","306","3978","100"
"13,5","0,6","E","1300","306","3978","100"
"13,5","0,7","E","1300","306","3978","100"
"13,5","0,8","E","1300","310","4030","100"
"13,5","0,9","E","1300","310","4030","100"
"14,7","0,0","P","1300","242","3146","100"
"14,7","0,1","P","1300","242","3146","100"
"14,7","0,10","E","1300","310","4030","100"
"14,7","0,11","E","1300","310","4030","100"
"14,7","0,2","P","1300","242","3146","100"
"14,7","0,3","P","1300","242","3146","100"
"14,7","0,4","E","1300","308","4004","100"
"14,7","0,5","E","1300","308","4004","100"
"14,7","0,6","E","1300","308","4004","100"
"14,7","0,7","E","1300","308","4004","100"
"14,7","0,8","E","1300","310","4030","100"
"14,7","0,9","E","1300","310","4030","100"
"16","0,0","P","1300","237","3081","100"
"16","0,1","P","1300","237","3081","88"
"16","0,10","E","1300","306","3978","100"
"16","0,11","E","1300","306","3978","100"
"16","0,2","P","1300","237","3081","94"
"16","0,3","P","1300","237","3081","94"
"16","0,4","E","1300","303","3939","94"
"16","0,5","E","1300","303","3939","100"
"16","0,6","E","1300","303","3939","94"
"16","0,7","E","1300","303","3939","100"
"16","0,8","E","1300","306","3978","94"
"16","0,9","E","1300","306","3978","100"
"17,2","0,0","P","1300","234","3042","100"
"17,2","0,1","P","1300","234","3042","100"
"17,2","0,10","E","1300","302","3926","100"
"17,2","0,11","E","1300","302","3926","100"
"17,2","0,2","P","1300","234","3042","93"
"17,2","0,3","P","1300","234","3042","100"
"17,2","0,4","E","1300","300","3900","100"
"17,2","0,5","E","1300","300","3900","100"
"17,2","0,6","E","1300","300","3900","100"
"17,2","0,7","E","1300","300","3900","93"
"17,2","0,8","E","1300","302","3926","100"
"17,2","0,9","E","1300","302","3926","100"
"18,4","0,0","P","1300","220","2860","94"
"18,4","0,1","P","1300","220","2860","100"
"18,4","0,10","E","1300","291","3783","100"
"18,4","0,11","E","1300","291","3783","100"
"18,4","0,2","P","1300","220","2860","100"
"18,4","0,3","P","1300","220","2860","94"
"18,4","0,4","E","1300","289","3757","94"
"18,4","0,5","E","1300","289","3757","100"
"18,4","0,6","E","1300","289","3757","100"
"18,4","0,7","E","1300","289","3757","100"
"18,4","0,8","E","1300","291","3783","100"
"18,4","0,9","E","1300","291","3783","100"
"19,6","0,0","P","1300","219","2847","100"
"19,6","0,1","P","1300","219","2847","100"
"19,6","0,10","E","1300","292","3796","100"
"19,6","0,11","E","1300","292","3796","100"
"19,6","0,2","P","1300","219","2847","100"
"19,6","0,3","P","1300","219","2847","100"
"19,6","0,4","E","1300","289","3757","100"
"19,6","0,5","E","1300","289","3757","100"
"19,6","0,6","E","1300","289","3757","93"
"19,6","0,7","E","1300","289","3757","100"
"19,6","0,8","E","1300","292","3796","100"
"19,6","0,9","E","1300","292","3796","100"
"20,9","0,0","P","1300","219","2847","94"
"20,9","0,1","P","1300","219","2847","100"
"20,9","0,10","E","1300","291","3783","100"
"20,9","0,11","E","1300","291","3783","100"
"20,9","0,2","P","1300","219","2847","100"
"20,9","0,3","P","1300","219","2847","100"
"20,9","0,4","E","1300","288","3744","100"
"20,9","0,5","E","1300","288","3744","100"
"20,9","0,6","E","1300","288","3744","94"
"20,9","0,7","E","1300","288","3744","100"
"20,9","0,8","E","1300","291","3783","100"
"20,9","0,9","E","1300","291","3783","100"
"22,1","0,0","P","1300","211","2743","100"
"22,1","0,1","P","1300","211","2743","94"
"22,1","0,10","E","1300","283","3679","100"
"22,1","0,11","E","1300","283","3679","100"
"22,1","0,2","P","1300","211","2743","100"
"22,1","0,3","P","1300","211","2743","100"
"22,1","0,4","E","1300","282","3666","100"
"22,1","0,5","E","1300","282","3666","94"
"22,1","0,6","E","1300","282","3666","100"
"22,1","0,7","E","1300","282","3666","100"
"22,1","0,8","E","1300","283","3679","94"
"22,1","0,9","E","1300","283","3679","100"
"23,4","0,0","P","1300","214","2782","100"
"23,4","0,1","P","1300","214","2782","100"
"23,4","0,10","E","1300","286","3718","100"
"23,4","0,11","E","1300","286","3718","100"
"23,4","0,2","P","1300","213","2769","100"
"23,4","0,3","P","1300","213","2769","100"
"23,4","0,4","E","1300","284","3692","100"
"23,4","0,5","E","1300","284","3692","100"
"23,4","0,6","E","1300","284","3692","100"
"23,4","0,7","E","1300","284","3692","100"
"23,4","0,8","E","1300","285","3705","100"
"23,4","0,9","E","1300","286","3718","100"
"24,7","0,0","P","1300","208","2704","100"
"24,7","0,1","P","1300","208","2704","100"
"24,7","0,10","E","1300","279","3627","100"
"24,7","0,11","E","1300","279","3627","100"
"24,7","0,2","P","1300","208","2704","100"
"24,7","0,3","P","1300","208","2704","100"
"24,7","0,4","E","1300","279","3627","100"
"24,7","0,5","E","1300","279","3627","100"
"24,7","0,6","E","1300","279","3627","100"
"24,7","0,7","E","1300","279","3627","100"
"24,7","0,8","E","1300","279","3627","100"
"24,7","0,9","E","1300","279","3627","100"
"25,9","0,0","P","1300","216","2808","100"
"25,9","0,1","P","1300","216","2808","100"
"25,9","0,10","E","1300","287","3731","100"
"25,9","0,11","E","1300","287","3731","100"
"25,9","0,2","P","1300","216","2808","100"
"25,9","0,3","P","1300","216","2808","100"
"25,9","0,4","E","1300","285","3705","100"
"25,9","0,5","E","1300","285","3705","100"
"25,9","0,6","E","1300","285","3705","100"
"25,9","0,7","E","1300","285","3705","100"
"25,9","0,8","E","1300","287","3731","100"
"25,9","0,9","E","1300","287","3731","100"
"27,2","0,0","P","1300","202","2626","100"
"27,2","0,1","P","1300","202","2626","100"
"27,2","0,10","E","1300","276","3588","100"
"27,2","0,11","E","1300","276","3588","100"
"27,2","0,2","P","1300","202","2626","100"
"27,2","0,3","P","1300","202","2626","100"
"27,2","0,4","E","1300","273","3549","100"
"27,2","0,5","E","1300","273","3549","94"
"27,2","0,6","E","1300","273","3549","100"
"27,2","0,7","E","1300","273","3549","100"
"27,2","0,8","E","1300","275","3575","100"
"27,2","0,9","E","1300","276","3588","100"
"28,4","0,0","P","1300","205","2665","100"
"28,4","0,1","P","1300","205","2665","100"
"28,4","0,10","E","1300","278","3614","100"
"28,4","0,11","E","1300","278","3614","100"
"28,4","0,2","P","1300","205","2665","100"
"28,4","0,3","P","1300","205","2665","100"
"28,4","0,4","E","1300","278","3614","100"
"28,4","0,5","E","1300","278","3614","100"
"28,4","0,6","E","1300","278","3614","100"
"28,4","0,7","E","1300","278","3614","100"
"28,4","0,8","E","1300","278","3614","100"
"28,4","0,9","E","1300","278","3614","100"
"29,7","0,0","P","1300","209","2717","100"
"29,7","0,1","P","1300","209","2717","100"
"29,7","0,10","E","1300","279","3627","100"
"29,7","0,11","E","1300","279","3627","100"
"29,7","0,2","P","1300","209","2717","100"
"29,7","0,3","P","1300","209","2717","100"
"29,7","0,4","E","1300","279","3627","100"
