"Segundo","Hilo","Tipo","Nominal","Porcentaje","MHz","Uso"
"7,9","0,0","P","1300","245","3185","100"
"7,9","0,1","P","1300","245","3185","100"
"7,9","0,10","E","1300","310","4030","100"
"7,9","0,11","E","1300","310","4030","100"
"7,9","0,2","P","1300","245","3185","100"
"7,9","0,3","P","1300","245","3185","100"
"7,9","0,4","E","1300","309","4017","100"
"7,9","0,5","E","1300","309","4017","100"
"7,9","0,6","E","1300","309","4017","100"
"7,9","0,7","E","1300","309","4017","100"
"7,9","0,8","E","1300","310","4030","100"
"7,9","0,9","E","1300","310","4030","100"
"9,2","0,0","P","1300","249","3237","100"
"9,2","0,1","P","1300","249","3237","100"
"9,2","0,10","E","1300","315","4095","100"
"9,2","0,11","E","1300","316","4108","100"
"9,2","0,2","P","1300","249","3237","100"
"9,2","0,3","P","1300","249","3237","100"
"9,2","0,4","E","1300","316","4108","100"
"9,2","0,5","E","1300","316","4108","100"
"9,2","0,6","E","1300","316","4108","100"
"9,2","0,7","E","1300","315","4095","100"
"9,2","0,8","E","1300","316","4108","100"
"9,2","0,9","E","1300","316","4108","100"
"10,5","0,0","P","1300","240","3120","100"
"10,5","0,1","P","1300","240","3120","100"
"10,5","0,10","E","1300","308","4004","100"
"10,5","0,11","E","1300","308","4004","100"
"10,5","0,2","P","1300","240","3120","100"
"10,5","0,3","P","1300","240","3120","100"
"10,5","0,4","E","1300","306","3978","100"
"10,5","0,5","E","1300","306","3978","100"
"10,5","0,6","E","1300","306","3978","100"
"10,5","0,7","E","1300","306","3978","100"
"10,5","0,8","E","1300","308","4004","100"
"10,5","0,9","E","1300","308","4004","100"
"11,7","0,0","P","1300","232","3016","100"
"11,7","0,1","P","1300","232","3016","100"
"11,7","0,10","E","1300","299","3887","100"
"11,7","0,11","E","1300","299","3887","100"
"11,7","0,2","P","1300","232","3016","100"
"11,7","0,3","P","1300","232","3016","100"
"11,7","0,4","E","1300","299","3887","100"
"11,7","0,5","E","1300","299","3887","100"
"11,7","0,6","E","1300","299","3887","100"
"11,7","0,7","E","1300","299","3887","100"
"11,7","0,8","E","1300","299","3887","100"
"11,7","0,9","E","1300","299","3887","100"
"13","0,0","P","1300","229","2977","100"
"13","0,1","P","1300","229","2977","100"
"13","0,10","E","1300","297","3861","100"
"13","0,11","E","1300","297","3861","100"
"13","0,2","P","1300","229","2977","100"
"13","0,3","P","1300","229","2977","100"
"13","0,4","E","1300","295","3835","100"
"13","0,5","E","1300","295","3835","100"
"13","0,6","E","1300","295","3835","100"
"13","0,7","E","1300","295","3835","100"
"13","0,8","E","1300","297","3861","100"
"13","0,9","E","1300","297","3861","100"
"14,2","0,0","P","1300","226","2938","100"
"14,2","0,1","P","1300","226","2938","100"
"14,2","0,10","E","1300","293","3809","100"
"14,2","0,11","E","1300","293","3809","100"
"14,2","0,2","P","1300","227","2951","100"
"14,2","0,3","P","1300","227","2951","100"
"14,2","0,4","E","1300","292","3796","100"
"14,2","0,5","E","1300","292","3796","100"
